iter	Passed	Remaining
788	5123	1370
789	5129	1363
790	5134	1356
791	5141	1350
792	5147	1343
793	5155	1337
794	5161	1331
795	5167	1324
796	5173	1317
797	5179	1311
798	5185	1304
799	5192	1298
800	5198	1291
801	5204	1284
802	5211	1278
803	5218	1272
804	5225	1265
805	5230	1259
806	5237	1252
807	5243	1245
808	5250	1239
809	5256	1232
810	5263	1226
811	5268	1219
812	5274	1213
813	5279	1206
814	5284	1199
815	5290	1192
816	5296	1186
817	5301	1179
818	5306	1172
819	5312	1166
820	5318	1159
821	5324	1153
822	5332	1146
823	5338	1140
824	5344	1133
825	5349	1126
826	5355	1120
827	5361	1113
828	5368	1107
829	5374	1100
830	5380	1094
831	5387	1087
832	5394	1081
833	5401	1075
834	5407	1068
835	5413	1061
836	5420	1055
837	5427	1049
838	5434	1042
839	5439	1036
840	5446	1029
841	5452	1023
842	5457	1016
843	5463	1009
844	5469	1003
845	5476	996
846	5483	990
847	5489	983
848	5495	977
849	5500	970
850	5507	964
851	5514	957
852	5520	951
853	5526	944
854	5532	938
855	5540	931
856	5547	925
857	5554	919
858	5562	913
859	5569	906
860	5575	900
861	5583	893
862	5590	887
863	5596	880
864	5602	874
865	5608	867
866	5614	861
867	5621	854
868	5628	848
869	5633	841
870	5639	835
871	5646	828
872	5652	822
873	5658	815
874	5664	809
875	5670	802
876	5676	796
877	5683	789
878	5689	783
879	5695	776
880	5702	770
881	5709	763
882	5716	757
883	5722	750
884	5728	744
885	5734	737
886	5741	731
887	5748	724
888	5753	718
889	5761	712
890	5768	705
891	5775	699
892	5781	692
893	5788	686
894	5794	679
895	5800	673
896	5806	666
897	5813	660
898	5819	653
899	5825	647
900	5830	640
901	5837	634
902	5843	627
903	5849	621
904	5855	614
905	5862	608
906	5868	601
907	5874	595
908	5880	588
909	5886	582
910	5892	575
911	5897	569
912	5902	562
913	5908	555
914	5914	549
915	5920	542
916	5928	536
917	5935	530
918	5941	523
919	5946	517
920	5952	510
921	5958	504
922	5965	497
923	5971	491
924	5977	484
925	5983	478
926	5989	471
927	5995	465
928	6001	458
929	6008	452
930	6014	445
931	6019	439
932	6026	432
933	6031	426
934	6037	419
935	6043	413
936	6049	406
937	6055	400
938	6063	393
939	6068	387
940	6075	380
941	6081	374
942	6087	367
943	6093	361
944	6099	355
945	6104	348
946	6110	341
947	6117	335
948	6122	329
949	6129	322
950	6135	316
951	6141	309
952	6147	303
953	6154	296
954	6159	290
955	6166	283
956	6173	277
957	6180	270
958	6186	264
959	6192	258
960	6197	251
961	6203	245
962	6209	238
963	6215	232
964	6221	225
965	6227	219
966	6234	212
967	6239	206
968	6245	199
969	6253	193
970	6259	186
971	6264	180
972	6269	173
973	6276	167
974	6282	161
975	6289	154
